i,x1,y1,z1
190,0.22539872,-1.2357746,-0.6637256
191,0.05399224,-1.4923142,-0.09132162
192,1.0540336,0.89977145,0.16548537
193,-0.72610295,0.029645398,-1.7472262
194,0.10443497,-0.46147984,-0.05120334
195,0.09545708,-0.4763881,-0.04232189
196,0.09545708,-0.4763881,-0.04232189
197,0.09545708,-0.4763881,-0.04232189
198,0.83801603,0.93061525,1.8923343
199,0.09248544,-0.38849998,0.04966703
200,-0.07800746,0.025504246,-0.85785353
201,0.09248544,-0.38849998,0.04966703
202,0.09248544,-0.38849998,0.04966703
203,0.09248544,-0.38849998,0.04966703
204,0.0074670464,-1.6130313,-0.05884424
205,0.0074297935,-1.6129495,-0.05888298
206,0.088179424,-1.5056695,-0.16567245
207,0.07735996,-1.4702741,0.050499886
208,-0.27386406,-1.4496444,0.07136235
209,-0.033227965,-1.5765666,-0.14407757
210,0.120187044,-1.6422315,0.71116006
211,0.092791885,-1.9753734,0.10898456
212,-0.5843457,-1.7215205,0.22829387
213,0.092791885,-1.9753734,0.10898456
214,0.049802154,-1.9387063,0.022094816
215,0.092791885,-1.9753734,0.10898456
216,0.28089452,-1.1592976,-0.09863326
217,0.22559209,-1.1024789,0.33848724
218,-0.2545102,-1.1836402,0.21426806
219,-0.29750857,-1.14072,-0.32173625
220,-0.0012561083,-1.4045107,-0.117444664
221,0.0020771325,-1.40672,-0.11139098
222,0.15286717,0.6261862,2.3000212
223,0.025287554,-1.4513601,-0.03543952
224,-2.1582255,0.42721307,-1.2816483
225,0.025287226,-1.4513605,-0.035439283
226,0.025287226,-1.4513605,-0.035439283
227,0.025287226,-1.4513605,-0.035439283
228,0.042028457,-0.61092407,-0.017371863
229,0.042028457,-0.61092407,-0.017371863
230,0.04209186,-0.6110389,-0.017342418
231,0.042028457,-0.61092407,-0.017371863
232,2.104004,1.0077176,-0.7127118
233,0.042028457,-0.61092407,-0.017371863
234,2.1558166,-0.2858824,0.5133448
235,0.02142021,-1.395881,-0.08085683
236,-1.9794372,-0.33481294,0.1174573
237,0.02142021,-1.395881,-0.08085683
238,0.0214203,-1.395881,-0.08085683
239,0.02142021,-1.395881,-0.08085683
240,0.8037145,1.1032916,0.45001382
241,-0.42859906,1.0013382,1.0078322
242,-0.8188958,1.2136744,-0.600119
243,-0.081491426,1.1327008,-1.0959955
244,-0.07608725,1.132492,-1.0983725
245,-0.07608725,1.132492,-1.0983725
246,0.5217491,0.26826358,-2.2612026
247,0.04416904,-0.6897349,-0.036144584
248,2.1482196,0.84548515,0.020786226
249,0.04416895,-0.6897349,-0.036144584
250,0.11795345,0.96388066,2.0294354
251,0.04416895,-0.6897349,-0.036144584
252,0.022951871,-1.0295304,-0.14424273
253,0.022947028,-1.029521,-0.14424637
254,1.2464745,0.07570352,-2.0466197
255,0.022947028,-1.029521,-0.14424637
256,1.9425744,0.23148419,0.5826918
257,0.022947028,-1.029521,-0.14424637
258,0.14234829,0.5853499,1.8502623
259,0.054441735,-0.7578769,-0.054629713
260,-1.7232538,0.6173807,0.39241263
261,0.054441735,-0.7578769,-0.054629713
262,-0.41633677,0.1867648,-1.7941622
263,0.054441735,-0.7578769,-0.054629713
264,-0.40828764,0.8321869,-1.2992727
265,1.0244362,0.9554322,0.4824171
266,0.959124,1.208381,-0.23495808
267,0.73024285,1.6250365,-1.0730851
268,-0.021556973,0.9774157,-0.41160122
269,0.03660631,1.0776348,0.22018947
270,1.7986097,0.36670595,1.6721627
271,-0.0074059665,-1.0124874,-0.07575366
272,-0.64573145,-0.009750426,-1.7424492
273,-0.0074059665,-1.0124874,-0.07575366
274,-0.0074059665,-1.0124874,-0.07575366
275,-0.0074059665,-1.0124874,-0.07575366
276,0.9780928,0.82775146,0.5623139
277,0.10532993,-0.55952126,-0.006647736
278,1.0038469,1.8634336,-0.94961965
279,0.10608815,-0.56010175,-0.0052527487
280,0.10743067,-0.57023007,-0.00977996
281,0.10608815,-0.56010175,-0.0052527487
282,0.46816167,0.77619153,0.8293648
283,-0.27972043,0.90674263,-0.5294281
284,0.84182715,2.0000966,-1.1014568
285,-0.03444247,1.065997,0.14699137
286,-0.03444247,1.065997,0.14699137
287,-0.03444247,1.065997,0.14699137
288,0.076379046,-0.78106844,-0.010586113
289,0.076379046,-0.78106844,-0.010586113
290,0.008269876,-0.79915524,-0.30732718
291,0.076379046,-0.78106844,-0.010586113
292,2.29383,0.8855386,-0.6370995
293,0.076379046,-0.78106844,-0.010586113
294,-0.3547727,1.2235305,1.8326573
295,0.06795263,-0.40681326,0.0732384
296,-0.82137704,0.8705571,-2.3674042
297,0.06795263,-0.40681326,0.0732384
298,0.06795263,-0.40681326,0.0732384
299,0.06795263,-0.40681326,0.0732384
300,1.3062512,0.18097891,1.0282409
301,0.37239105,0.1757974,1.4872861
302,-0.5839865,0.14828253,1.3165579
303,-1.2700306,0.15430072,0.6065538
304,-1.4234008,0.11725825,-0.3742651
305,-0.67547566,-0.2773288,-1.2790883
306,1.0832043,0.40032923,1.2057222
307,-1.0942789,0.42604053,0.2008985
308,0.022779211,-0.06921364,0.18977395
309,0.031547412,-0.06323861,0.21696901
310,0.031547412,-0.06323861,0.21696901
311,0.031547412,-0.06323861,0.21696901
312,-1.0179428,1.1055429,-1.9741722
313,-0.046531186,0.6564561,-0.33355013
314,-0.046549812,0.6564321,-0.33354345
315,-0.046531186,0.6564561,-0.33355013
